City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
632,Namibe,AO,75.51,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
637,Mbandaka,CD,75.65,overcast clouds,0.0487,18.2603,Guest House Epervier
639,Antalaha,MG,77.52,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
640,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
643,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
649,Sibolga,ID,85.46,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
650,Mangrol,IN,78.57,clear sky,21.1167,70.1167,Hotel The Royal Honours
658,Lampitak,PH,79.61,overcast clouds,6.4322,125.0525,Mt. Mabalo
659,Pundaguitan,PH,81.12,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
664,Muli,MV,82.17,clear sky,2.9167,73.5667,Medhufushi Island Resort
671,Mildura,AU,87.08,clear sky,-34.2,142.15,Mercure Hotel Mildura
674,Boyolangu,ID,85.96,broken clouds,-8.1181,111.8935,Yos ega cv
675,Mahina,PF,82.17,light rain,-17.5065,-149.489,Relais de la Maroto
683,Domoni,KM,82.69,moderate rain,-12.2569,44.5319,Al Djadid
684,Srandakan,ID,85.62,overcast clouds,-7.9386,110.2506,Puri Brata
686,Biak,ID,78.03,overcast clouds,-0.9131,122.8766,Penginapan Kim
